image_path,class
/media/ssd1/neo/H18-10005;S11;MSKJ - 2023-03-24 00.34.32/(109696, 49792, 111744, 51840).jpg,1
/media/ssd1/neo/H19-1422;S11;MSKU - 2023-05-10 20.28.53/(105728, 51968, 107776, 54016).jpg,1
/media/ssd1/neo/H22-9252;S12;MSKY - 2023-06-15 13.30.32/(158976, 54016, 161024, 56064).jpg,1
/media/ssd1/neo/H22-2565;S12;MSKY - 2023-05-26 12.30.23/(109824, 49920, 111872, 51968).jpg,1
/media/ssd1/neo/H23-602;S10;MSK7 - 2023-06-15 18.54.36/(44288, 97024, 46336, 99072).jpg,1
/media/ssd1/neo/H20-6318;S12;MSK6 - 2023-06-07 00.59.34/(138496, 56064, 140544, 58112).jpg,1
/media/ssd1/neo/H22-1124;S10;MSKW - 2023-05-31 22.24.37/(113920, 49920, 115968, 51968).jpg,1
/media/ssd1/neo/H20-8242;S12;MSK4 - 2023-06-15 20.29.43/(115968, 29440, 118016, 31488).jpg,1
/media/ssd1/neo/H18-9084;S11;MSKE - 2023-06-22 01.03.52/(113792, 49792, 115840, 51840).jpg,1
/media/ssd1/neo/H22-8545;S21;MSK2 - 2023-06-15 10.15.19/(163072, 6912, 165120, 8960).jpg,1
/media/ssd1/neo/H21-1724;S16;MSKX - 2023-04-19 13.07.06/(105728, 84736, 107776, 86784).jpg,1
/media/ssd1/neo/H22-501;S11;MSKV - 2023-04-19 16.37.45/(68864, 76544, 70912, 78592).jpg,1
/media/ssd1/neo/H20-4137;S17;MSK8 - 2023-06-05 11.40.05/(109824, 35584, 111872, 37632).jpg,1
/media/ssd1/neo/H22-7403;S17;MSK9 - 2023-06-15 17.40.43/(89344, 88832, 91392, 90880).jpg,1
/media/ssd1/neo/H21-1951;S11;MSKU - 2023-05-17 13.07.55/(83200, 6912, 85248, 8960).jpg,1
/media/ssd1/neo/H21-6586;S11;MSK3 - 2023-05-19 18.27.53/(105728, 33536, 107776, 35584).jpg,1
/media/ssd1/neo/H18-8949;S11;MSKD - 2023-03-24 07.12.35/(66688, 45696, 68736, 47744).jpg,1
/media/ssd1/neo/H20-4615;S11;MSK3 - 2023-06-07 00.30.55/(107776, 76544, 109824, 78592).jpg,1
/media/ssd1/neo/H21-2362;S11;MSKR - 2023-05-22 11.54.07/(128256, 90880, 130304, 92928).jpg,1
/media/ssd1/neo/H21-5777;S10;MSKC - 2023-05-27 02.45.57/(29952, 92928, 32000, 94976).jpg,1
/media/ssd1/neo/H18-8643;S11;MSK5 - 2023-05-12 09.37.41/(134400, 39680, 136448, 41728).jpg,1
/media/ssd1/neo/H22-9252;S12;MSKY - 2023-06-15 13.30.32/(118016, 25344, 120064, 27392).jpg,1
/media/ssd1/neo/H21-142;S11;MSKL - 2023-04-19 12.55.05/(107776, 70400, 109824, 72448).jpg,1
/media/ssd1/neo/H20-4777;S2;MSKB - 2023-06-05 15.06.01/(107776, 51968, 109824, 54016).jpg,1
/media/ssd1/neo/H21-7919;S10;MSKC - 2023-04-19 17.12.57/(130304, 94976, 132352, 97024).jpg,1
/media/ssd1/neo/H22-1758;S10;MSK9 - 2023-05-26 12.36.01/(83200, 80640, 85248, 82688).jpg,1
/media/ssd1/neo/H18-9180;S10;MSKK - 2023-06-27 03.11.27/(93440, 86784, 95488, 88832).jpg,1
/media/ssd1/neo/H18-6315;S11;MSKZ - 2023-06-26 22.18.49/(109824, 13056, 111872, 15104).jpg,1
/media/ssd1/neo/H22-6495;S21;MSK4 - 2023-06-15 15.50.37/(64768, 29440, 66816, 31488).jpg,1
/media/ssd1/neo/H18-7381;S11;MSK3 - 2023-06-26 12.59.36/(87296, 60160, 89344, 62208).jpg,1
/media/ssd1/neo/H20-1805;S30;MSKL - 2023-06-27 23.18.52/(56576, 92928, 58624, 94976).jpg,1
/media/ssd1/neo/H19-710;S2;MSK3 - 2023-06-22 02.20.15/(103552, 84608, 105600, 86656).jpg,1
/media/ssd1/neo/H18-9554;S12;MSK8 - 2023-07-19 09.35.49/(128256, 58112, 130304, 60160).jpg,1
/media/ssd1/neo/H18-6315;S11;MSKZ - 2023-06-26 22.18.49/(118016, 29440, 120064, 31488).jpg,1
/media/ssd1/neo/H22-9252;S12;MSKY - 2023-06-15 13.24.53/(154880, 66304, 156928, 68352).jpg,1
/media/ssd1/neo/H20-748;S12;MSK7 - 2023-06-27 22.49.20/(72960, 11008, 75008, 13056).jpg,1
/media/ssd1/neo/H22-9632;S14;MSK2 - 2023-06-15 19.06.08/(105728, 94976, 107776, 97024).jpg,1
/media/ssd1/neo/H21-1662;S13;MSKV - 2023-05-19 22.13.41/(27904, 21248, 29952, 23296).jpg,1
/media/ssd1/neo/H22-9578;S15;MSKB - 2023-06-15 13.54.24/(81152, 66304, 83200, 68352).jpg,1
/media/ssd1/neo/H22-9632;S14;MSK2 - 2023-06-15 19.06.08/(140544, 13056, 142592, 15104).jpg,1
